===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.tesla.com
/contactus            (Status: 302) [Size: 295] [--> https://auth.tesla.com/oauth2/v1/authorize?redirect_uri=https%3A%2F%2Fwww.tesla.com%2Fteslaaccount%2Fowner-xp%2Fauth%2Fcallback&response_type=code&client_id=ownership&scope=offline_access%20openid%20ou_code%20email&audience=https%3A%2F%2Fownership.tesla.com%2F&locale=en-US]
/corporate            (Status: 301) [Size: 0] [--> https://www.tesla.com/fleet]                                                                                                                                                                                                                                                        
/crossdomain.xml      (Status: 403) [Size: 217]                                                                                                                                                                                                                                                                                        
/ct                   (Status: 302) [Size: 0] [--> https://www.tesla.com/cybertruck/design]                                                                                                                                                                                                                                            
/customer             (Status: 301) [Size: 0] [--> https://www.tesla.com/customer-stories]                                                                                                                                                                                                                                             
/customers            (Status: 301) [Size: 0] [--> https://www.tesla.com/customer-stories]                                                                                                                                                                                                                                             
/de                   (Status: 302) [Size: 211] [--> http://www.tesla.com/de_DE/]                                                                                                                                                                                                                                                      
/dc                   (Status: 302) [Size: 217] [--> http://www.tesla.com/washingtondc]                                                                                                                                                                                                                                                
/de_DE                (Status: 200) [Size: 271109]                                                                                                                                                                                                                                                                                     
/design               (Status: 302) [Size: 0] [--> https://www.tesla.com/models/design]                                                                                                                                                                                                                                                
/designs              (Status: 302) [Size: 0] [--> https://www.tesla.com/models/design]                                                                                                                                                                                                                                                
/destinations         (Status: 301) [Size: 0] [--> https://www.tesla.com/en_AU/campaign/destinations?redirect=no]                                                                                                                                                                                                                      
